benchmark_id,benchmark_version,label_source,label_final_status,annotation_id,award_id,project_cluster_id,label_mmr_class,label_qual_signal,label_quant_signal,label_design_present,label_design_type,label_integration_present,label_integration_type,label_reporting_completeness,target_mmr_binary,target_mmr_multiclass,target_explicit_mmr_binary,target_implicit_mmr_binary,target_method_signal_binary,target_qual_binary,target_quant_binary,target_design_binary,target_design_type,target_integration_binary,target_integration_type,target_reporting_quality,target_reporting_quality_ordinal,target_design_binary_broad,target_design_specific_binary,target_integration_binary_broad,target_integration_strict_binary,split_random_cluster_stratified,split_temporal_cluster_safe,split_edu_to_eng_cluster_safe,split_cross_program_cluster_safe,split_cold_start_pi_cluster_safe,split_cold_start_institution_cluster_safe,start_year,cat_NSFDirectorate,cat_NSFOrganization,cat_primary_program_key,cat_institution_key,cat_state_key,cat_award_instrument,m_start_year,m_team_size,m_num_co_pis,m_has_copi,m_num_current_participants,g_lead_pi_prior_award_count,g_lead_pi_prior_collaborator_count,g_lead_pi_prior_program_count,g_lead_pi_prior_institution_count,g_lead_pi_seen_before,g_lead_pi_years_since_first,g_lead_pi_years_since_last,g_institution_prior_award_count,g_institution_prior_person_count,g_institution_prior_program_count,g_institution_prior_year_count,g_institution_seen_before,g_institution_age_years,g_institution_years_since_last,g_program_prior_award_count,g_program_prior_person_count,g_program_prior_institution_count,g_program_prior_year_count,g_program_seen_before,g_program_age_years,g_program_years_since_last,g_nsforg_prior_award_count,g_nsforg_prior_person_count,g_nsforg_prior_institution_count,g_nsforg_prior_year_count,g_directorate_prior_award_count,g_directorate_prior_person_count,g_directorate_prior_institution_count,g_directorate_prior_year_count,g_state_prior_award_count,g_state_prior_person_count,g_state_prior_program_count,g_state_prior_year_count,g_cold_start_lead_pi,g_cold_start_institution,g_cold_start_program,g_team_prior_award_count_sum,g_team_prior_award_count_mean,g_team_prior_award_count_max,g_team_prior_award_count_min,g_team_prior_award_count_nonzero_count,g_team_prior_collaborator_count_sum,g_team_prior_collaborator_count_mean,g_team_prior_collaborator_count_max,g_team_prior_collaborator_count_min,g_team_prior_collaborator_count_nonzero_count,g_team_prior_program_count_sum,g_team_prior_program_count_mean,g_team_prior_program_count_max,g_team_prior_program_count_min,g_team_prior_program_count_nonzero_count,g_team_prior_institution_count_sum,g_team_prior_institution_count_mean,g_team_prior_institution_count_max,g_team_prior_institution_count_min,g_team_prior_institution_count_nonzero_count,g_current_team_prior_pair_collaboration_count_sum,g_current_team_prior_pair_collaboration_count_mean,g_current_team_prior_pair_collaboration_count_max,g_current_team_prior_pair_collaboration_count_min,g_current_team_prior_pair_collaboration_count_nonzero_count,g_team_seen_before_fraction,g_current_team_any_prior_pair_collaboration,g_lead_pi_prior_award_count_log1p,g_lead_pi_prior_collaborator_count_log1p,g_lead_pi_prior_program_count_log1p,g_lead_pi_prior_institution_count_log1p,g_institution_prior_award_count_log1p,g_institution_prior_person_count_log1p,g_institution_prior_program_count_log1p,g_institution_prior_year_count_log1p,g_program_prior_award_count_log1p,g_program_prior_person_count_log1p,g_program_prior_institution_count_log1p,g_program_prior_year_count_log1p,g_nsforg_prior_award_count_log1p,g_nsforg_prior_person_count_log1p,g_nsforg_prior_institution_count_log1p,g_nsforg_prior_year_count_log1p,g_directorate_prior_award_count_log1p,g_directorate_prior_person_count_log1p,g_directorate_prior_institution_count_log1p,g_directorate_prior_year_count_log1p,g_state_prior_award_count_log1p,g_state_prior_person_count_log1p,g_state_prior_program_count_log1p,g_state_prior_year_count_log1p,g_team_prior_award_count_sum_log1p,g_team_prior_award_count_mean_log1p,g_team_prior_award_count_max_log1p,g_team_prior_award_count_min_log1p,g_team_prior_award_count_nonzero_count_log1p,g_team_prior_collaborator_count_sum_log1p,g_team_prior_collaborator_count_mean_log1p,g_team_prior_collaborator_count_max_log1p,g_team_prior_collaborator_count_min_log1p,g_team_prior_collaborator_count_nonzero_count_log1p,g_team_prior_program_count_sum_log1p,g_team_prior_program_count_mean_log1p,g_team_prior_program_count_max_log1p,g_team_prior_program_count_min_log1p,g_team_prior_program_count_nonzero_count_log1p,g_team_prior_institution_count_sum_log1p,g_team_prior_institution_count_mean_log1p,g_team_prior_institution_count_max_log1p,g_team_prior_institution_count_min_log1p,g_team_prior_institution_count_nonzero_count_log1p,g_current_team_prior_pair_collaboration_count_sum_log1p,g_current_team_prior_pair_collaboration_count_mean_log1p,g_current_team_prior_pair_collaboration_count_max_log1p,g_current_team_prior_pair_collaboration_count_min_log1p,g_current_team_prior_pair_collaboration_count_nonzero_count_log1p,g_current_team_any_prior_pair_collaboration_log1p
methodkg_v3_00001,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_01106,527,projtxt_b3fb2e045f01e09a,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,train,train,train,train,train,train,2000,EDU,DRL,element_725900,inst_5bca935c9e33,MD,Standard Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00002,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_02312,1455,projtxt_bcddd8290efce7df,multi_method_not_mmr,no,no,yes,unclear,no,none,partial,0,multi_method_not_mmr,0,0,1,0.0,0.0,1.0,unclear,0.0,none,partial,2.0,1.0,0,0.0,0,test,train,train,train,train,train,2000,EDU,DUE,element_163000,inst_71898bfdf3ea,GA,Standard Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00003,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_02064,1502,projtxt_aeca3107a7bc5f38,quant_only,no,yes,yes,quantitative_general,no,none,none_no_report,0,quant_only,0,0,1,0.0,1.0,1.0,quantitative_general,0.0,none,none_no_report,0.0,1.0,0,0.0,0,test,train,train,validation,train,train,2000,EDU,DGE,element_717400,inst_83101c1f934e,AZ,Standard Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00004,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00373,2205,projtxt_d2c39b83bd9500d4,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,validation,train,test,train,validation,train,2000,ENG,EEC,element_134000,inst_2cb7732b730b,CO,Standard Grant,2000,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00005,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00880,3026,projtxt_27afe26bb7944c04,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,train,train,train,train,validation,validation,2001,EDU,DRL,element_725900,inst_2434ff391bf2,FL,Standard Grant,2001,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,65.0,35.0,1.0,1.0,1.0,1.0,239.0,486.0,164.0,1.0,816.0,1744.0,517.0,1.0,26.0,59.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737669618283368,4.189654742026425,3.58351893845611,0.6931471805599453,5.480638923341991,6.18826412308259,5.10594547390058,0.6931471805599453,6.705639094860002,7.4645098346365275,6.249975242259483,0.6931471805599453,3.295836866004329,4.0943445622221,2.4849066497880004,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00006,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00561,3091,projtxt_78d01bd80fa1a88e,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,train,train,train,train,train,test,2000,EDU,DUE,element_159300,inst_eb4ca7755a62,NM,Standard Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00007,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_01419,3521,projtxt_0ce5e65492fafd2b,qual_only,yes,no,yes,qualitative_general,no,none,partial,0,qual_only,0,0,1,1.0,0.0,1.0,qualitative_general,0.0,none,partial,2.0,1.0,0,0.0,0,train,train,train,train,train,test,2001,EDU,DRL,element_725900,inst_1c8b55ba09b0,CA,Continuing Grant,2001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,65.0,35.0,1.0,1.0,1.0,1.0,239.0,486.0,164.0,1.0,816.0,1744.0,517.0,1.0,91.0,196.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737669618283368,4.189654742026425,3.58351893845611,0.6931471805599453,5.480638923341991,6.18826412308259,5.10594547390058,0.6931471805599453,6.705639094860002,7.4645098346365275,6.249975242259483,0.6931471805599453,4.5217885770490405,5.2832037287379885,3.2188758248682006,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00008,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00934,4476,projtxt_0d03e69acd8ee9d7,quant_only,no,yes,yes,quantitative_general,no,none,partial,0,quant_only,0,0,1,0.0,1.0,1.0,quantitative_general,0.0,none,partial,2.0,1.0,0,0.0,0,validation,train,train,train,train,train,2000,EDU,EES,element_154500,inst_0ce50d3b73c3,NJ,Continuing Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00009,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_01226,53303,projtxt_94ea52da489e008b,quant_only,no,yes,yes,quantitative_general,no,none,partial,0,quant_only,0,0,1,0.0,1.0,1.0,quantitative_general,0.0,none,partial,2.0,1.0,0,0.0,0,train,train,train,test,train,train,2000,EDU,DUE,element_741200,inst_0d71731a33b5,WA,Standard Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00010,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_02183,71047,projtxt_b5c7fd3674050344,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,train,train,train,test,train,train,2000,EDU,DUE,element_741200,inst_6eea92cbaf9f,FL,Continuing Grant,2000,5.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00011,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00530,80500,projtxt_ddc5b7482c3e0a8d,qual_only,yes,no,yes,case_study,no,none,partial,0,qual_only,0,0,1,1.0,0.0,1.0,case_study,0.0,none,partial,2.0,1.0,1,0.0,0,train,train,test,train,test,train,2000,ENG,EEC,element_134000,inst_0f499ac77544,IN,Standard Grant,2000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00012,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00246,80724,projtxt_ffda4dacd7b69666,explicit_mmr,yes,yes,yes,mixed_methods_explicit,yes,explicit_mixed_methods,adequate,1,explicit_mmr,1,0,1,1.0,1.0,1.0,mixed_methods_explicit,1.0,explicit_mixed_methods,adequate,3.0,1.0,0,1.0,0,train,train,train,train,validation,train,2000,EDU,DRL,element_726100,inst_fbcc2267ecf9,MA,Continuing Grant,2000,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00013,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_02100,85098,projtxt_443a4fc0cc8d41f2,multi_method_not_mmr,no,no,yes,unclear,no,none,partial,0,multi_method_not_mmr,0,0,1,0.0,0.0,1.0,unclear,0.0,none,partial,2.0,1.0,0,0.0,0,train,train,train,train,test,test,2000,EDU,DRL,element_734700,inst_bcef3423f26c,CA,Cooperative Agreement,2000,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00014,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_01121,86335,projtxt_530d0bbeef8c8331,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,train,train,train,train,train,train,2001,EDU,DGE,element_717900,inst_c2795b362bf2,MO,Continuing Grant,2001,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,80.0,97.0,75.0,1.0,816.0,1744.0,517.0,1.0,10.0,20.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681096,1.3862943611198906,1.0986122886681096,0.6931471805599453,4.394449154672438,4.584967478670571,4.330733340286331,0.6931471805599453,6.705639094860002,7.4645098346365275,6.249975242259483,0.6931471805599453,2.3978952727983707,3.044522437723423,2.3978952727983707,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00015,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_00664,86345,projtxt_acff2a171a9ead3f,no_method_signal,no,no,no,none,no,none,none_no_report,0,no_method_signal,0,0,0,0.0,0.0,0.0,none,0.0,none,none_no_report,0.0,0.0,0,0.0,0,validation,train,train,test,train,train,2001,EDU,EES,element_154400,inst_251fc570694e,NY,Standard Grant,2001,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,15.0,34.0,15.0,1.0,1.0,1.0,1.0,38.0,77.0,38.0,1.0,816.0,1744.0,517.0,1.0,54.0,117.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.791759469228055,1.0986122886681096,0.6931471805599453,2.772588722239781,3.5553480614894135,2.772588722239781,0.6931471805599453,3.6635616461296463,4.356708826689592,3.6635616461296463,0.6931471805599453,6.705639094860002,7.4645098346365275,6.249975242259483,0.6931471805599453,4.007333185232471,4.770684624465664,2.8903717578961645,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methodkg_v3_00016,methodkg_labeled_benchmark_v3,human_verified_ra,ready_for_modeling,ann_01244,86440,projtxt_41c1a81d2c7c8141,multi_method_not_mmr,no,no,yes,program_evaluation,no,none,partial,0,multi_method_not_mmr,0,0,1,0.0,0.0,1.0,program_evaluation,0.0,none,partial,2.0,1.0,1,0.0,0,train,train,train,test,train,train,2001,EDU,EES,element_154400,inst_9498cfe59790,WA,Standard Grant,2001,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,15.0,34.0,15.0,1.0,1.0,1.0,1.0,38.0,77.0,38.0,1.0,816.0,1744.0,517.0,1.0,16.0,41.0,11.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,2.197224577336219,1.0986122886681096,0.6931471805599453,2.772588722239781,3.5553480614894135,2.772588722239781,0.6931471805599453,3.6635616461296463,4.356708826689592,3.6635616461296463,0.6931471805599453,6.705639094860002,7.4645098346365275,6.249975242259483,0.6931471805599453,2.833213344056216,3.737669618283368,2.4849066497880004,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681096,0.6931471805599453,1.0986122886681096,0.0,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
