accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold
0.5526315789473685,0.3559322033898305,0.39339875111507583,0.0,0.0,0.0,0.5,0.4473684210526316,dummy,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,777,768,9,
0.7105263157894737,0.6959017056018106,0.702921518491889,0.6292134831460674,0.7368421052631579,0.5490196078431373,0.8204170557111734,0.7876209980986498,metadata_lr,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,777,768,9,
0.7017543859649122,0.6826072715361939,0.6908131777199303,0.6046511627906976,0.7428571428571429,0.5098039215686274,0.7550575785869903,0.7386335288752817,metadata_svm,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,777,768,9,
0.7807017543859649,0.7793263646922184,0.7811602176172138,0.7619047619047619,0.7407407407407407,0.7843137254901961,0.8549642079053844,0.8188014803955663,metadata_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,777,768,9,
0.8508771929824561,0.8466165413533835,0.8493074792243767,0.8210526315789474,0.8863636363636364,0.7647058823529411,0.8708372237784003,0.8685856408583341,metadata_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,777,768,9,
